title,year,dnaSource,dnaConfidence,surrealism,loneliness,chaos,romance,nostalgia,intensity,pacing,visualExtremity,narrativeComplexity,darkness,humor,dreamLogic
Pink Floyd: The Wall,1982,provisional-v3-compatible,0.38,49,58,51,41,65,58,50,44,38,36,55,59
Pixote,1980,provisional-v3-compatible,0.38,48,47,36,35,57,41,47,56,42,45,41,54
PlayTime,1967,provisional-v3-compatible,0.38,62,51,40,42,63,43,28,49,65,41,92,41
Poetry,2010,provisional-v3-compatible,0.38,50,61,36,59,40,52,51,61,54,42,44,44
Portrait of a Lady on Fire,2019,provisional-v3-compatible,0.38,47,50,38,68,45,54,55,67,38,40,47,35
Pride,2014,provisional-v3-compatible,0.38,38,50,39,48,43,51,57,58,59,61,43,38
Pride & Prejudice,2005,provisional-v3-compatible,0.38,50,55,56,89,66,41,58,42,61,37,51,50
Princes and Princesses,2000,provisional-v3-compatible,0.38,59,38,46,46,66,52,44,55,58,33,47,62
Princess Mononoke,1997,provisional-v3-compatible,0.38,45,36,34,42,52,45,58,79,37,40,52,59
Prisoners,2013,provisional-v3-compatible,0.38,48,43,40,47,49,43,49,34,58,48,45,42
Project Hail Mary,2026,provisional-v3-compatible,0.38,57,61,49,56,37,48,56,60,53,53,51,59
Psycho,1960,provisional-v3-compatible,0.38,44,39,49,29,72,77,45,57,59,77,36,41
Puella Magi Madoka Magica the Movie Part III: Rebellion,2013,provisional-v3-compatible,0.38,75,53,44,51,59,48,54,71,62,45,49,84
Pulp Fiction,1994,provisional-v3-compatible,0.38,51,56,41,52,49,63,50,41,71,77,58,45
Punishment Park,1971,provisional-v3-compatible,0.38,37,52,45,58,71,54,49,45,35,51,38,48
"Quo Vadis, Aida?",2020,provisional-v3-compatible,0.38,45,61,36,33,61,74,49,51,49,84,27,39
Raging Bull,1980,provisional-v3-compatible,0.38,42,39,47,40,70,46,42,36,55,57,57,42
Raiders of the Lost Ark,1981,provisional-v3-compatible,0.38,37,38,61,37,53,87,59,62,47,35,35,47
Raise the Red Lantern,1991,provisional-v3-compatible,0.38,60,54,48,40,45,56,38,38,60,37,53,55
Ran,1985,provisional-v3-compatible,0.38,37,51,49,52,48,49,52,40,50,55,62,56
Rashomon,1950,provisional-v3-compatible,0.38,62,46,56,49,70,37,31,54,44,48,55,54
Ratatouille,2007,provisional-v3-compatible,0.38,53,56,58,35,56,36,53,62,48,14,89,61
Rear Window,1954,provisional-v3-compatible,0.38,58,55,55,43,52,54,47,46,49,54,55,37
Red Beard,1965,provisional-v3-compatible,0.38,43,44,53,38,49,48,49,33,65,38,60,62
Redline,2009,provisional-v3-compatible,0.38,57,56,57,57,38,54,55,74,51,47,53,51
Reservoir Dogs,1992,provisional-v3-compatible,0.38,47,42,60,43,44,53,61,38,66,66,57,46
Rififi,1955,provisional-v3-compatible,0.38,45,55,54,46,48,52,41,58,56,71,37,34
Rio Bravo,1959,provisional-v3-compatible,0.38,43,60,51,62,49,44,40,58,58,53,50,42
Ritual,2000,provisional-v3-compatible,0.38,55,48,40,44,49,45,47,53,58,51,52,36
Rocco and His Brothers,1960,provisional-v3-compatible,0.38,46,41,41,52,59,51,30,31,57,45,47,48
Roman Holiday,1953,provisional-v3-compatible,0.38,56,51,61,71,78,40,38,43,56,49,52,61
"Rome, Open City",1945,provisional-v3-compatible,0.38,52,64,48,32,74,71,50,44,57,85,42,34
Rope,1948,provisional-v3-compatible,0.38,47,34,36,53,64,55,29,47,48,36,53,62
Rosemary's Baby,1968,provisional-v3-compatible,0.38,51,35,53,51,47,55,31,33,48,68,20,45
RRR,2022,provisional-v3-compatible,0.38,62,38,77,61,48,87,86,67,44,56,56,43
Samurai Rebellion,1967,provisional-v3-compatible,0.38,54,59,55,49,57,34,27,59,60,48,51,57
Sanjuro,1962,provisional-v3-compatible,0.38,47,52,60,47,63,48,40,34,60,49,48,56
Sansho the Bailiff,1954,provisional-v3-compatible,0.38,53,60,56,41,59,46,25,49,48,35,40,52
Satantango,1994,provisional-v3-compatible,0.38,59,70,41,49,65,45,9,51,69,46,61,42
Saving Private Ryan,1998,provisional-v3-compatible,0.38,52,62,40,38,58,55,39,58,38,78,43,62
Scarface,1983,provisional-v3-compatible,0.38,54,47,55,40,68,55,41,44,58,54,36,38
Scenes from a Marriage,1974,provisional-v3-compatible,0.38,48,45,59,37,50,44,50,54,35,35,35,39
Schindler's List,1993,provisional-v3-compatible,0.38,58,73,47,27,61,69,41,57,36,81,17,51
Se7en,1995,provisional-v3-compatible,0.38,48,39,53,27,47,54,58,60,36,79,16,58
Seconds,1966,provisional-v3-compatible,0.38,54,52,61,38,55,46,39,49,57,45,61,50
Secrets & Lies,1996,provisional-v3-compatible,0.38,44,45,61,37,53,42,38,35,38,55,40,50
Sentimental Value,2025,provisional-v3-compatible,0.38,37,43,61,53,57,44,61,69,54,37,54,47
Seven Samurai,1954,provisional-v3-compatible,0.38,50,57,44,42,57,47,49,34,63,49,37,55
Shame,1968,provisional-v3-compatible,0.38,52,50,39,58,63,46,26,41,47,54,54,37
Sherlock Jr.,1924,provisional-v3-compatible,0.38,40,42,57,62,79,31,24,56,55,18,86,37
Shoplifters,2018,provisional-v3-compatible,0.38,37,50,35,41,54,42,46,51,47,51,39,54
Short Term 12,2013,provisional-v3-compatible,0.38,47,48,35,48,53,51,37,55,51,61,54,56
Shutter Island,2010,provisional-v3-compatible,0.38,69,59,51,51,65,64,48,43,58,70,39,47
Silenced,2011,provisional-v3-compatible,0.38,35,53,54,49,55,58,36,40,48,50,61,39
Sing Sing,2023,provisional-v3-compatible,0.38,38,54,42,39,62,58,50,65,46,39,52,55
Singin' in the Rain,1952,provisional-v3-compatible,0.38,52,42,48,43,59,41,32,38,53,39,84,35
Society of the Snow,2023,provisional-v3-compatible,0.38,43,35,55,36,59,55,44,62,45,60,57,40
Solaris,1972,provisional-v3-compatible,0.38,42,59,62,39,52,41,43,56,61,57,62,46
Some Like It Hot,1959,provisional-v3-compatible,0.38,37,52,44,55,64,35,28,48,52,20,83,59
Son of the White Mare,1981,provisional-v3-compatible,0.38,72,53,41,59,55,38,41,88,60,38,55,94
Song of the Sea,2014,provisional-v3-compatible,0.38,66,42,61,53,44,56,61,75,45,51,35,53
Sorcerer,1977,provisional-v3-compatible,0.38,52,58,59,34,63,43,55,54,52,50,47,54
Sound of Metal,2019,provisional-v3-compatible,0.38,54,41,60,45,41,53,46,69,50,43,41,39
Spider-Man: Across the Spider-Verse,2023,provisional-v3-compatible,0.38,58,34,40,62,56,42,61,65,50,33,61,58
Spider-Man: Into the Spider-Verse,2018,provisional-v3-compatible,0.38,68,46,47,47,57,45,51,87,38,42,56,54
Spirited Away,2001,provisional-v3-compatible,0.38,58,41,39,44,56,35,57,59,59,37,48,59
"Spring, Summer, Fall, Winter... and Spring",2003,provisional-v3-compatible,0.38,42,42,62,66,63,51,49,37,41,58,43,57
Stalker,1979,curated-starter-v1,0.95,75,94,21,14,79,58,8,87,97,81,5,84
Stand by Me,1986,provisional-v3-compatible,0.38,38,52,60,58,64,41,39,49,57,41,54,48
Star Wars,1977,provisional-v3-compatible,0.38,39,44,61,46,59,82,77,72,44,64,58,40
Still Walking,2008,provisional-v3-compatible,0.38,62,72,42,40,52,40,27,57,63,35,60,50
Sunrise: A Song of Two Humans,1927,provisional-v3-compatible,0.38,60,39,62,44,62,49,50,50,51,40,43,40
Sunset Boulevard,1950,provisional-v3-compatible,0.38,61,51,53,40,56,53,37,42,65,39,43,50
Sweet Smell of Success,1957,provisional-v3-compatible,0.38,40,43,41,58,49,60,31,41,45,34,40,52
Swing Girls,2004,provisional-v3-compatible,0.38,50,41,38,49,41,45,51,52,42,26,92,43
"Synecdoche, New York",2008,provisional-v3-compatible,0.38,66,57,52,56,44,46,57,59,53,42,55,79
Tampopo,1985,provisional-v3-compatible,0.38,41,38,46,56,69,39,34,43,45,36,69,50
Taste of Cherry,1997,provisional-v3-compatible,0.38,55,72,48,53,55,46,20,62,72,43,62,61
Terminator 2: Judgment Day,1991,provisional-v3-compatible,0.38,52,55,56,57,49,63,74,69,48,40,36,36
The 400 Blows,1959,provisional-v3-compatible,0.38,37,52,35,61,72,51,46,51,64,61,56,45
The Apartment,1960,provisional-v3-compatible,0.38,38,48,61,50,53,43,39,51,61,40,72,48
The Ascent,1977,provisional-v3-compatible,0.38,59,47,54,28,67,72,53,51,56,83,40,51
The Battle of Algiers,1966,provisional-v3-compatible,0.38,46,70,71,41,57,88,25,35,66,62,34,57
The Best Years of Our Lives,1946,provisional-v3-compatible,0.38,38,60,35,42,76,48,31,50,67,54,57,46
The Bridge on the River Kwai,1957,provisional-v3-compatible,0.38,60,48,53,46,68,55,40,33,46,75,17,51
The Celebration,1998,provisional-v3-compatible,0.38,40,43,52,42,65,49,49,55,51,43,55,36
The Children's Hour,1961,provisional-v3-compatible,0.38,37,52,34,60,72,37,45,32,63,62,53,50
The Conformist,1970,provisional-v3-compatible,0.38,38,58,49,50,76,54,45,49,42,59,57,40
The Conversation,1974,provisional-v3-compatible,0.38,59,47,35,35,76,52,36,39,54,49,42,45
"The Cook, the Thief, His Wife & Her Lover",1989,provisional-v3-compatible,0.38,39,46,34,72,58,60,50,44,57,52,54,46
The Cranes Are Flying,1957,provisional-v3-compatible,0.38,35,48,57,47,68,57,35,55,47,46,54,60
The Cremator,1969,provisional-v3-compatible,0.38,73,48,61,27,52,74,30,67,80,63,32,68
The Dark Knight,2008,provisional-v3-compatible,0.38,49,45,62,43,54,73,60,68,43,86,37,48
The Deer Hunter,1978,provisional-v3-compatible,0.38,37,54,59,43,54,54,29,47,35,82,35,54
The Departed,2006,provisional-v3-compatible,0.38,42,52,37,28,45,54,57,59,47,71,41,56
The Devils,1971,provisional-v3-compatible,0.38,57,47,35,29,58,68,34,36,38,86,33,52
The Elephant Man,1980,provisional-v3-compatible,0.38,54,60,49,43,61,41,49,54,57,59,34,55
The Empire Strikes Back,1980,provisional-v3-compatible,0.38,50,48,64,38,63,74,62,68,61,46,43,51
The Exterminating Angel,1962,provisional-v3-compatible,0.38,86,49,40,31,65,51,25,56,67,63,15,80
The Face of Another,1966,provisional-v3-compatible,0.38,75,42,53,51,48,55,43,69,77,86,23,87
The Fall,2006,provisional-v3-compatible,0.38,54,49,60,48,39,55,57,38,57,57,58,57
The Father,2020,provisional-v3-compatible,0.38,50,56,53,49,37,66,42,46,49,45,49,42
The Fire Within,1963,provisional-v3-compatible,0.38,56,44,61,48,56,53,49,31,41,47,44,53
The First Slam Dunk,2022,provisional-v3-compatible,0.38,63,47,51,54,46,62,64,69,48,36,38,63
The General,1926,provisional-v3-compatible,0.38,43,51,39,47,74,50,49,33,60,33,92,46
The Godfather,1972,provisional-v3-compatible,0.38,50,46,61,53,67,54,41,42,61,63,61,58
The Godfather Part II,1974,provisional-v3-compatible,0.38,43,54,39,39,54,69,49,39,47,59,49,41
The Gold Rush,1925,provisional-v3-compatible,0.38,44,37,39,57,60,39,27,45,50,24,72,55
"The Good, the Bad and the Ugly",1966,provisional-v3-compatible,0.38,46,45,55,57,73,46,45,58,51,35,62,35
The Grand Budapest Hotel,2014,provisional-v3-compatible,0.38,45,39,44,61,39,37,35,60,55,24,68,56
The Grapes of Wrath,1940,provisional-v3-compatible,0.38,59,51,43,43,68,49,39,49,65,55,57,48
The Great Dictator,1940,provisional-v3-compatible,0.38,45,40,44,37,63,39,50,35,57,19,78,34
The Great Escape,1963,provisional-v3-compatible,0.38,41,44,59,37,60,38,48,44,62,41,56,37
The Great Silence,1968,provisional-v3-compatible,0.38,51,72,59,61,65,36,17,52,43,57,36,36
The Green Mile,1999,provisional-v3-compatible,0.38,38,54,59,56,53,46,36,52,36,52,61,47
The Green Ray,1986,provisional-v3-compatible,0.38,40,40,50,45,49,39,30,47,62,40,53,47
The Handmaiden,2016,curated-starter-v1,0.95,35,61,58,91,45,86,69,90,94,69,32,37
The Hidden Fortress,1958,provisional-v3-compatible,0.38,55,56,57,49,66,41,41,57,44,35,39,57
The Holdovers,2023,provisional-v3-compatible,0.38,36,48,43,51,55,57,60,51,55,45,60,53
The Human Condition I: No Greater Love,1959,provisional-v3-compatible,0.38,39,77,37,57,68,63,50,45,64,78,20,53
The Human Condition II: Road to Eternity,1959,provisional-v3-compatible,0.38,52,54,50,44,61,66,49,37,56,65,32,58
The Human Condition III: A Soldier's Prayer,1961,provisional-v3-compatible,0.38,52,72,44,23,72,64,34,56,48,79,23,50
The Hunt,2012,provisional-v3-compatible,0.38,36,51,43,56,45,40,38,39,42,38,38,52
The Intouchables,2011,provisional-v3-compatible,0.38,44,56,59,36,48,41,46,38,45,35,34,34
The Iron Giant,1999,provisional-v3-compatible,0.38,50,51,43,59,61,41,36,57,49,55,39,59
The Kid,1921,provisional-v3-compatible,0.38,41,58,43,39,58,46,44,46,42,40,47,51
The Killer,1989,provisional-v3-compatible,0.38,53,34,54,46,71,85,50,60,67,72,39,41
The King of Comedy,1982,provisional-v3-compatible,0.38,50,58,39,39,61,40,38,53,58,49,40,40
The Last Picture Show,1971,provisional-v3-compatible,0.38,36,55,60,56,76,51,51,36,40,44,60,42
The Leopard,1963,provisional-v3-compatible,0.38,38,55,60,51,53,40,28,58,40,58,45,51
The Life and Death of Colonel Blimp,1943,provisional-v3-compatible,0.38,41,55,34,59,73,39,24,41,62,60,37,50
The Lion King,1994,provisional-v3-compatible,0.38,53,62,56,58,53,45,49,64,56,55,43,58
The Lives of Others,2006,provisional-v3-compatible,0.38,48,49,45,53,48,41,47,36,51,40,44,60
The Long Goodbye,1973,provisional-v3-compatible,0.38,57,47,52,34,68,53,36,55,57,60,48,44
The Lord of the Rings: The Fellowship of the Ring,2001,provisional-v3-compatible,0.38,46,59,59,40,62,81,78,53,50,56,44,52
The Lord of the Rings: The Return of the King,2003,provisional-v3-compatible,0.38,45,47,56,59,62,61,70,51,53,56,42,49
The Lord of the Rings: The Two Towers,2002,provisional-v3-compatible,0.38,58,51,53,39,60,71,82,66,39,48,42,58
The Lovers on the Bridge,1991,provisional-v3-compatible,0.38,58,51,51,89,46,49,35,52,58,49,48,37
The Man Who Shot Liberty Valance,1962,provisional-v3-compatible,0.38,34,60,47,54,52,55,44,47,49,51,38,51
The Man Who Sleeps,1974,provisional-v3-compatible,0.38,61,62,56,41,68,39,26,49,64,57,38,55
The Matrix,1999,provisional-v3-compatible,0.38,51,61,52,45,42,54,42,42,53,60,50,36
The Night of the Hunter,1955,provisional-v3-compatible,0.38,36,66,54,35,54,55,43,51,40,52,46,46
The Odyssey,2026,provisional-v3-compatible,0.38,52,43,55,55,45,52,53,61,59,56,43,42
The Ox-Bow Incident,1943,provisional-v3-compatible,0.38,56,47,39,37,77,45,47,45,53,59,42,51
The Passion of Joan of Arc,1928,provisional-v3-compatible,0.38,54,59,58,43,76,49,34,54,41,58,43,48
The Pianist,2002,provisional-v3-compatible,0.38,40,48,53,50,63,57,46,37,55,72,44,57
The Prestige,2006,provisional-v3-compatible,0.38,54,48,34,57,46,38,44,36,35,55,57,39
The Red Shoes,1948,provisional-v3-compatible,0.38,55,54,40,52,68,57,32,35,66,41,59,40
The Return,2003,provisional-v3-compatible,0.38,42,54,45,46,53,35,62,51,52,35,54,47
The Sacrifice,1986,provisional-v3-compatible,0.38,38,74,40,34,65,28,16,48,53,59,41,38
The Second Mother,2015,provisional-v3-compatible,0.38,60,56,39,41,49,55,60,62,43,47,56,46
The Secret in Their Eyes,2009,provisional-v3-compatible,0.38,48,59,51,40,43,58,37,43,48,64,41,35
The Seventh Seal,1957,provisional-v3-compatible,0.38,60,41,42,43,56,57,29,52,47,42,56,48
The Shawshank Redemption,1994,provisional-v3-compatible,0.38,34,58,53,53,51,64,34,46,41,37,54,62
The Shining,1980,provisional-v3-compatible,0.38,50,56,37,49,64,62,49,38,48,77,27,59
The Shop Around the Corner,1940,provisional-v3-compatible,0.38,45,66,50,77,71,61,41,45,46,32,42,57
The Silence of the Lambs,1991,provisional-v3-compatible,0.38,68,46,55,41,62,68,42,54,35,77,17,51
The Sound of Music,1965,provisional-v3-compatible,0.38,45,39,59,42,66,50,31,35,64,59,56,58
The Spirit of the Beehive,1973,provisional-v3-compatible,0.38,40,48,49,47,55,53,32,47,51,42,37,53
The Sting,1973,provisional-v3-compatible,0.38,59,55,46,56,50,35,48,56,46,61,44,47
The Straight Story,1999,provisional-v3-compatible,0.38,36,47,45,50,62,52,54,37,44,49,46,52
The Sword of Doom,1966,provisional-v3-compatible,0.38,41,62,45,51,61,40,33,48,40,57,57,50
The Tale of The Princess Kaguya,2013,provisional-v3-compatible,0.38,52,61,50,41,63,37,38,68,42,31,57,61
The Taste of Tea,2004,provisional-v3-compatible,0.38,90,41,51,44,53,54,41,64,61,51,46,65
The Thing,1982,provisional-v3-compatible,0.38,49,51,43,29,76,69,34,59,58,62,14,39
The Third Man,1949,provisional-v3-compatible,0.38,60,60,47,61,56,54,26,48,45,60,61,38
The Treasure of the Sierra Madre,1948,provisional-v3-compatible,0.38,44,60,47,42,57,48,29,32,47,42,57,47
The Truman Show,1998,provisional-v3-compatible,0.38,51,60,54,39,57,52,58,56,45,36,58,41
The Turin Horse,2011,provisional-v3-compatible,0.38,42,73,47,45,40,28,28,46,50,52,51,44
The Umbrellas of Cherbourg,1964,provisional-v3-compatible,0.38,39,45,52,86,72,44,46,55,44,36,52,57
The Virgin Spring,1960,provisional-v3-compatible,0.38,45,54,60,53,63,45,44,33,55,45,53,35
The Voice of Hind Rajab,2025,provisional-v3-compatible,0.38,55,44,41,57,59,58,46,69,40,59,54,44
The Wages of Fear,1953,provisional-v3-compatible,0.38,38,36,55,45,65,56,28,32,48,49,41,53
The White Ribbon,2009,provisional-v3-compatible,0.38,38,35,53,56,46,36,39,51,36,55,45,36
The Wild Robot,2024,provisional-v3-compatible,0.38,61,58,55,56,43,48,51,91,37,50,42,70
The Wolf House,2018,provisional-v3-compatible,0.38,78,61,51,41,47,71,50,76,76,70,25,79
The Young and the Damned,1950,provisional-v3-compatible,0.38,59,49,47,56,62,46,37,42,59,50,61,61
The Young Girls of Rochefort,1967,provisional-v3-compatible,0.38,34,43,53,90,70,34,32,51,44,39,43,44
Thelma & Louise,1991,provisional-v3-compatible,0.38,47,54,50,43,41,48,57,57,58,35,47,51
There Will Be Blood,2007,provisional-v3-compatible,0.38,53,52,55,54,50,71,61,35,45,70,42,43
There's Still Tomorrow,2023,provisional-v3-compatible,0.38,48,56,42,50,37,44,66,55,53,36,55,59
"They Shoot Horses, Don't They?",1969,provisional-v3-compatible,0.38,49,40,40,52,46,41,47,49,49,59,57,45
Threads,1984,provisional-v3-compatible,0.38,34,40,50,47,65,61,44,34,37,53,44,37
Three Colours: Red,1994,provisional-v3-compatible,0.38,46,61,35,84,67,50,37,56,50,41,56,43
Throne of Blood,1957,provisional-v3-compatible,0.38,43,36,48,38,74,70,24,56,61,54,42,43
Through a Glass Darkly,1961,provisional-v3-compatible,0.38,39,35,35,56,63,35,40,36,50,63,34,55
Through the Olive Trees,1994,provisional-v3-compatible,0.38,41,51,55,55,46,50,58,44,56,62,40,40
Time of the Gypsies,1988,provisional-v3-compatible,0.38,61,61,47,50,50,36,40,52,60,41,56,43
To Be or Not to Be,1942,provisional-v3-compatible,0.38,50,41,38,51,71,52,39,48,50,21,90,61
To Live,1994,provisional-v3-compatible,0.38,47,60,44,58,55,43,60,49,44,36,53,61
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,provisional-v3-compatible,0.38,44,35,35,34,43,43,51,37,45,46,44,61
Tokyo Godfathers,2003,provisional-v3-compatible,0.38,60,35,45,54,54,59,51,64,57,43,57,64
Tokyo Sonata,2008,provisional-v3-compatible,0.38,60,34,42,43,46,40,53,39,42,45,40,47
Tokyo Story,1953,provisional-v3-compatible,0.38,36,69,42,42,53,30,22,48,57,43,56,38
Touch of Evil,1958,provisional-v3-compatible,0.38,51,35,37,51,59,60,31,50,49,55,61,43
Trainspotting,1996,curated-starter-v1,0.95,53,62,86,24,82,89,96,84,59,79,79,48
Turtles Can Fly,2004,provisional-v3-compatible,0.38,62,46,49,61,44,42,40,45,50,55,39,37
Twin Peaks: Fire Walk with Me,1992,provisional-v3-compatible,0.38,72,62,48,30,52,66,37,64,52,75,32,65
Ugetsu,1953,provisional-v3-compatible,0.38,43,44,45,46,56,57,50,35,60,48,55,47
Umberto D.,1952,provisional-v3-compatible,0.38,43,48,55,53,53,51,37,46,42,58,46,53
Underground,1995,provisional-v3-compatible,0.38,60,47,61,39,63,57,62,54,58,46,54,54
Unforgiven,1992,provisional-v3-compatible,0.38,49,44,46,52,44,35,39,43,54,43,46,45
Us and Them,2018,provisional-v3-compatible,0.38,52,49,53,49,55,54,43,42,53,58,37,42
Vada Chennai,2018,provisional-v3-compatible,0.38,44,44,57,51,63,80,46,45,65,69,45,59
Vampire Hunter D: Bloodlust,2000,provisional-v3-compatible,0.38,53,55,44,52,40,68,58,75,55,64,50,68
Vertigo,1958,provisional-v3-compatible,0.38,44,42,35,58,58,46,28,41,66,38,45,37
WALL·E,2008,provisional-v3-compatible,0.38,45,46,38,61,52,52,34,56,49,53,50,61
We All Loved Each Other So Much,1974,provisional-v3-compatible,0.38,58,42,41,72,72,36,37,44,61,37,55,60
Werckmeister Harmonies,2000,provisional-v3-compatible,0.38,37,53,61,46,42,40,27,50,70,42,50,49
What Ever Happened to Baby Jane?,1962,provisional-v3-compatible,0.38,54,59,46,34,70,72,36,56,66,68,22,58
Where Is the Friend's House?,1987,provisional-v3-compatible,0.38,59,48,61,52,53,57,40,37,36,57,50,55
Whiplash,2014,provisional-v3-compatible,0.38,49,50,61,41,49,47,52,55,34,49,44,38
Whisper of the Heart,1995,provisional-v3-compatible,0.38,58,54,51,59,44,42,44,60,35,40,53,59
Who Killed Captain Alex?,2010,provisional-v3-compatible,0.38,57,47,57,45,41,52,44,38,34,46,77,56
Who's Afraid of Virginia Woolf?,1966,provisional-v3-compatible,0.38,47,38,52,49,48,53,27,48,55,45,43,46
Wild Strawberries,1957,provisional-v3-compatible,0.38,37,54,44,51,58,57,30,51,54,35,45,57
Wild Tales,2014,provisional-v3-compatible,0.38,45,60,52,54,47,48,42,45,54,46,43,37
Wings of Desire,1987,provisional-v3-compatible,0.38,52,42,34,35,67,46,42,46,44,40,47,57
Winter Light,1963,provisional-v3-compatible,0.38,55,44,57,42,65,60,46,31,57,37,50,36
Winter Sleep,2014,provisional-v3-compatible,0.38,61,58,62,53,38,45,32,56,64,38,58,37
Witness for the Prosecution,1957,provisional-v3-compatible,0.38,53,55,58,50,58,40,44,35,41,60,61,44
Wolfwalkers,2020,provisional-v3-compatible,0.38,43,58,53,38,57,52,57,74,49,62,37,69
Woman in the Dunes,1964,provisional-v3-compatible,0.38,77,51,40,57,71,41,43,67,69,58,50,63
Y Tu Mamá También,2001,provisional-v3-compatible,0.38,43,47,61,54,63,52,62,36,45,49,54,40
Yi Yi,2000,provisional-v3-compatible,0.38,40,54,60,54,65,60,47,61,36,59,41,41
Yojimbo,1961,provisional-v3-compatible,0.38,57,52,53,58,59,55,35,34,47,54,43,38
Your Name.,2016,provisional-v3-compatible,0.38,65,59,44,80,48,59,47,72,45,27,52,72
Z,1969,provisional-v3-compatible,0.38,38,46,40,43,51,54,47,55,66,46,35,44
